loss_reconstruction,loss_prediction,loss_linearity,loss_eigvalue,lin_dyn_weight
0.017817589277076978,0.019429834989016882,0.013355700284162731,0.028006412133814183,0.7031147480010986
0.017689368812412263,0.019385097795553086,0.01407378157176297,0.027468055142114693,0.7050057053565979
0.017996600976378604,0.019937315354018843,0.01883982079997459,0.026918387679687773,0.7010251879692078
0.017420113216536293,0.019344039773193985,0.01641766730466253,0.0260055788390678,0.7085795998573303
0.01727588858015975,0.018868247111984617,0.012745755345088707,0.026368640982433553,0.7108420133590698
0.017469073907939104,0.01941306824888285,0.013384671824367532,0.025947059007815958,0.7088139653205872
0.01790898240573365,0.020348038359597604,0.01683374894807869,0.024831854615949753,0.7026333808898926
0.017379198577904188,0.019364271737415412,0.014252206949821745,0.025032054647883207,0.709854006767273
0.0170358194228032,0.01875190228603321,0.01298865055710317,0.02459229558366713,0.7146071195602417
0.016544240833966727,0.018185979114900327,0.010451543122410135,0.023596105138314314,0.7215736508369446
0.016534913104057473,0.018218383907113254,0.013713536526877982,0.02317641297949543,0.7213190197944641
0.016491773028935407,0.018511231034874277,0.01820215981218954,0.022995184332971277,0.7224586606025696
0.016796037859355795,0.01955837354153874,0.022365986938830514,0.022742695487216715,0.7176937460899353
0.016525426654809282,0.018524910290862857,0.014611929767433024,0.02234700113415079,0.721913754940033
0.016368936634954593,0.018163804371838756,0.010993847069168219,0.02233411767207905,0.7236610651016235
0.016553010394542052,0.018552643861172186,0.012530208235711418,0.022045977783187145,0.7219969034194946
0.016305737462064537,0.018689502435099665,0.013076960333890154,0.021594773373758824,0.7248905897140503
0.01606564728628055,0.018381727921798947,0.01469686310788262,0.021616722614412012,0.7278528213500977
0.015922377867269612,0.018487220073253634,0.016901365006916805,0.021722941437171867,0.7304263114929199
0.0157217329802446,0.017827126224982195,0.015247716312483952,0.021206833514567196,0.7333027124404907
0.01573134477102964,0.0177165112051184,0.010391681548707368,0.020579261051106388,0.7331799268722534
0.015429507791197013,0.0172049176801825,0.010666793645496902,0.020208724841835033,0.7374621629714966
0.015436451612464864,0.017676715746561898,0.011168587813029021,0.020178823959052402,0.7371808886528015
0.015224857358187037,0.017078894115584945,0.011099514396656454,0.01984788095154088,0.7402039170265198
0.014829268099755129,0.016194918837108656,0.008085600773356955,0.020133041566981865,0.7457051277160645
0.014768911176049037,0.016289849663228197,0.00801866035346671,0.01993858188530555,0.746692955493927
0.014473092769729547,0.015672479039582427,0.007194818662923958,0.019209138751928832,0.750714123249054
0.014411133576693868,0.015905749956620283,0.007574953538323216,0.019397884697201426,0.7519013285636902
0.014596118596719512,0.016588523579466757,0.010827029202552886,0.019150385800399506,0.7491264343261719
