loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_prediction_3,loss_prediction_4,loss_prediction_5,loss_prediction_6,loss_prediction_7,loss_linearity_1,loss_linearity_2,loss_linearity_3,loss_linearity_4,loss_linearity_5,loss_linearity_6,loss_linearity_7,lin_dyn_weight
0.053265376148199796,0.0655456831158211,0.06768434320636069,0.06947579781214396,0.07086120350192292,0.07200634583881006,0.07317895676551844,0.07448895386975221,0.004348407846307915,0.004540743573446466,0.004928155092879979,0.0053888538118564725,0.005893116421771772,0.006425855617330532,0.0070013530376784325,0.34532901644706726
0.05115522343151096,0.06291747771529638,0.06491088200899889,0.06666884410260904,0.06805364214611374,0.06921637596104682,0.07041953051531756,0.07175727175542401,0.004472226800039561,0.004672327828327012,0.005043810666209519,0.005489441596899771,0.006005073607168615,0.006550886328974958,0.0071261833663339965,0.3602546751499176
0.04851966703730801,0.06029719363157998,0.06229237586962254,0.06402108617101855,0.06543412762458878,0.06665354830648762,0.06790652676463528,0.06927766209900982,0.004383312148176861,0.00463870252523358,0.0050745897722565365,0.005561990910507613,0.006113757373708667,0.006719982423364915,0.0073519315884169505,0.3797138035297394
0.04628628654411746,0.057999464959809274,0.059966562492678864,0.06157596869902177,0.06290866642287284,0.06412578536203814,0.06540527933775776,0.06683448609278259,0.004333191425210298,0.004564502684756963,0.0050006549015189665,0.005518964023301096,0.006082617443820042,0.006695372699085711,0.007331587705347273,0.39702004194259644
0.04411234795445144,0.055703357052722766,0.057585123652962325,0.059245627295689954,0.06057686641160085,0.06181385051521789,0.0631512104060112,0.06460383476231636,0.004242921763598317,0.004482223866162476,0.004907585534985218,0.005417226726559276,0.005977580814249186,0.006564216626814319,0.0072117444692236,0.4145742952823639
0.042192123275914976,0.05364276788852833,0.055478631968450064,0.057019325137539746,0.05831211672888862,0.05954811713510892,0.060882194114453864,0.06232820267629142,0.00412807826090742,0.004413739187950237,0.004799754190123844,0.005292906880579412,0.005869829137919326,0.006465563423906513,0.007111571613786999,0.4308006465435028
0.04092991509371334,0.05216093460718791,0.05381713387139317,0.055315057235936126,0.056558581875630905,0.05777106670418171,0.05910728094152329,0.06059350240912903,0.004257743768017701,0.004475753049457114,0.004858116228572447,0.005366200850868867,0.005970361332098643,0.006600000616476592,0.007288340381299606,0.44180259108543396
0.03920661753626785,0.05026659909322206,0.05194018657761391,0.053401532759168736,0.05467545235598529,0.0559052267861286,0.05727101460049048,0.05877824459814463,0.0041977151676460545,0.004476474275693348,0.004890056059818075,0.005399775178946228,0.006022205166142396,0.0067003058765071006,0.007402686714523971,0.45732632279396057
0.03793549836685361,0.04878451198038429,0.0504337894796121,0.051810117963989974,0.052990091408944694,0.05420019730975732,0.0555328611974363,0.057025890157680316,0.004152213699287839,0.004457127152368276,0.004870778743666832,0.005384483913379887,0.006009108941964429,0.0066819749346084464,0.007392833128521338,0.4690542221069336
0.0362311892361954,0.04713578404802265,0.04874352895049535,0.05008976953198211,0.051243073932249535,0.052450002363635236,0.05383190073148169,0.05539906655096446,0.0039833847094665874,0.004274312349080237,0.0047178071054946695,0.005248595367778431,0.005867181643091067,0.006535333415073176,0.007252467386048249,0.4852675497531891
0.03506485565443231,0.045734615117211136,0.04727896203095664,0.04858326438300136,0.049690363985119446,0.05086485119379731,0.05223697829326797,0.05381166481409812,0.00395196852609766,0.004244590309834239,0.004644060787127074,0.005154953189570494,0.0057989142207986975,0.0064782563233215,0.007192052509447541,0.4966805875301361
0.0338116855783896,0.04432410186388677,0.04581931195275149,0.04708840622243656,0.048198401767396766,0.0494375299925756,0.050836400351540405,0.05238061497107098,0.003920511575258942,0.004211157560348511,0.004644103481211646,0.00517192246636959,0.005799019090856366,0.0064806221109448055,0.007223066160775195,0.5092645883560181
0.03300415765657168,0.04335290410301902,0.04478611837733876,0.04602503415310022,0.0470768240164426,0.04821179202108672,0.04961880541811086,0.05119845534013177,0.003991362271886884,0.004304152217878637,0.004718699800446378,0.005244755428848845,0.0059333417552087445,0.00665808096277192,0.007388720573600294,0.5175873041152954
0.031795805981163223,0.0419619387247747,0.043439579250836614,0.04463888727856003,0.04567922265441329,0.04679654812571978,0.04814148475024034,0.04970029263384013,0.003968031328133862,0.004301781706537061,0.0046847886835485195,0.005201509604951749,0.005863973247483121,0.006579642524622908,0.007333388713875203,0.5301817059516907
0.030728964364588864,0.040800572445095586,0.04221003749956587,0.04334789711216885,0.04436250391231242,0.0454595599110279,0.04683541513051248,0.04845928965192853,0.003856747795636405,0.004189591699276709,0.004582591743681969,0.005106286483782309,0.0058031132676786045,0.006529663442963301,0.007286777003646298,0.5415987372398376
0.02977884323132359,0.0395956186533777,0.041006542496408276,0.042094842392186124,0.04305149810482757,0.04413449326749602,0.04547931140520757,0.04708244399189548,0.003747398546749494,0.0040622410047736635,0.004515213045206937,0.005067706133179392,0.005717332967202672,0.006457322158596733,0.007247771031728096,0.5519859790802002
0.028972480092385802,0.03844808006928826,0.03984434672879049,0.04090210018735944,0.04185900519592593,0.042963430696866325,0.0442940931528907,0.045873624828929455,0.003736192386860799,0.004062161000088008,0.004517290317249619,0.0050775400265700085,0.0057502185204615095,0.006465864633068894,0.007239401345501845,0.5609142780303955
0.02809204767122614,0.037490541846663866,0.03893438973009385,0.04000460647974753,0.04092265271177196,0.04195264850802694,0.043270360259496,0.04484452815970989,0.0037322657276885676,0.00407132620763297,0.004529589926353609,0.005085718027168653,0.005767568795367925,0.006494240969519824,0.007309625867239955,0.5708779692649841
0.027228920822743616,0.036492326805487224,0.03785913869588062,0.03889141879499159,0.039828149919156675,0.04086627502634068,0.042185150493275037,0.04372172520216868,0.0036604122932912524,0.004003408004338492,0.004446198713498484,0.005019716158358738,0.005719818112123695,0.006463694843378934,0.007287574095356746,0.5807608366012573
0.02651951839827528,0.03555540934154883,0.03686586291300327,0.037919099924941656,0.03883034496596365,0.03983669879059198,0.04111456606123182,0.04265959403330228,0.00352865306767149,0.0038577629510401076,0.004329698690862366,0.004909475343395965,0.005592250583147762,0.006339506082462542,0.007162401702267554,0.5890843272209167
0.02602079070050909,0.03478319119122695,0.03606441440405669,0.037058182015563504,0.03787969617731242,0.03885391553243001,0.04014259175419406,0.04170375741290725,0.0035891306119334417,0.003911763379469464,0.004368453886773851,0.00491019738242281,0.005595539118906465,0.0063784601762639954,0.0072220888804104995,0.5949801802635193
0.025122422318566928,0.03384280443592906,0.03515571741142658,0.036177660559965706,0.03699417772517863,0.03793182868748803,0.03918661922718138,0.040702828333434034,0.0034870694632883423,0.003823817137515906,0.004258694637704778,0.004831414594493731,0.005519319117470623,0.006246242273335505,0.007050253009354627,0.6057506203651428
0.024546781991316814,0.03303693115510523,0.03436674594076394,0.03534792276343914,0.03613123544538864,0.03705196597359397,0.03828685662963174,0.039819815263202295,0.0034213352082955715,0.003791336138240416,0.004239304612080256,0.0048063136812813755,0.005507752359515489,0.006257218433550311,0.0070927456623376016,0.6127827167510986
0.023733745078847866,0.032059140839560664,0.0333502678959458,0.0343025342984633,0.035077196660667956,0.03599412963045165,0.037210269467999234,0.038710368522489914,0.003300774779785362,0.003632344907582408,0.004079242008001314,0.004628885785738627,0.005272963522660612,0.006009623027008391,0.0068321430823618315,0.6227443218231201
